entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,reference_model,reference_mean_r,be_mean_r,be_minus_unmanaged_mean_r,reference_win_rate,be_win_rate,reference_drawdown_r,be_drawdown_r,reference_zero_r_outcomes,be_zero_r_outcomes,eligible_identity_set_equal
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_2R_BE1R,NATURAL,0.01,stop_first,ATR050_TARGET_2R,-0.045000948977069586923011300929084578812142708632311318362888219995349731955513284,-0.030290795733634810874649150975384819027380630035637213503765752813517972365198210,0.014710153243434776048362149953699759784762078596674104859122467181831759590315074,0.32882686436982119494112516354121238552115133013519406890536415176624509376362843,0.24814653292629742695159180113388573920627998255560401221107719145224596598342782,147.17153549130355639098184270100672297637134646179839066798275124766487467821481,106.88637794314099743958789105642865206782517401908999451511439730595115796487196,0,0,True
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_2R_BE1R,NATURAL,0.01,target_first,ATR050_TARGET_2R,-0.043692619277985417712370219376533335898928578671561209335413296314582178532050576,-0.022876927438824518681016355510927775852500560258053262348074518622501836298909498,0.020815691839160899031353863865605560046428018413507946987338777692080342233141078,0.32926297426951591801133885739206279982555604012211077191452245965983427823811601,0.25163541212385521151330135194068905364151766245093763628434365460095944177932839,147.17153549130355639098184270100672297637134646179839066798275124766487467821481,106.82648554005719402546849793302368620810130092083252834518288955773198331019955,0,0,True
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_2R_BE1R,NATURAL,0.02,stop_first,ATR050_TARGET_2R,-0.072424739458532700987523367216788955835161100212858002989706548064074437181996572,-0.057714586215097924939161217263089196050399021616183898130584080882242677591681509,0.014710153243434776048362149953699759784762078596674104859122467181831759590315063,0.32882686436982119494112516354121238552115133013519406890536415176624509376362843,0.24814653292629742695159180113388573920627998255560401221107719145224596598342782,185.41199995427597280452018209301405732607040313341437406608347794252118030154530,150.29152147850535670074602371244513766457972985756007422623652774752583351467365,0,0,True
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_2R_BE1R,NATURAL,0.02,target_first,ATR050_TARGET_2R,-0.071116409759448531776882285664237712921946970252107893962231624383306883758533860,-0.050300717920287632745528421798632152875518951838599946974892846691226541525392800,0.020815691839160899031353863865605560046428018413507946987338777692080342233141060,0.32926297426951591801133885739206279982555604012211077191452245965983427823811601,0.25163541212385521151330135194068905364151766245093763628434365460095944177932839,185.41199995427597280452018209301405732607040313341437406608347794252118030154530,133.29152147850535670074602371244513766457972985756007422623652774752583351467364,0,0,True
MOMENTUM_AWAY_025,USD025_TARGET_2R_BE1R,NATURAL,0,stop_first,USD025_TARGET_2R,-0.059349136786188579017264276228419654714475431606905710491367861885790172642762284,-0.076969588313413014608233731739707835325365205843293492695883134130146082337317397,-0.017620451527224435590969455511288180610889774236387782204515272244355909694555113,0.31440903054448871181938911022576361221779548472775564409030544488711819389110226,0.24136786188579017264276228419654714475431606905710491367861885790172642762284197,377.1992000000,480.8844000000,0,1057,True
MOMENTUM_AWAY_025,USD025_TARGET_2R_BE1R,NATURAL,0,target_first,USD025_TARGET_2R,0.0078819389110225763612217795484727755644090305444887118193891102257636122177954847,0.0078577689243027888446215139442231075697211155378486055776892430278884462151394422,-0.0000241699867197875166002656042496679946879150066401062416998671978751660026560425,0.33681938911022576361221779548472775564409030544488711819389110225763612217795485,0.27390438247011952191235059760956175298804780876494023904382470119521912350597610,201.9592000000,173.2624000000,0,980,True
MOMENTUM_AWAY_025,USD025_TARGET_2R_BE1R,NATURAL,0.01,stop_first,USD025_TARGET_2R,-0.099349136786188579017264276228419654714475431606905710491367861885790172642762284,-0.11696958831341301460823373173970783532536520584329349269588313413014608233731740,-0.017620451527224435590969455511288180610889774236387782204515272244355909694555116,0.31440903054448871181938911022576361221779548472775564409030544488711819389110226,0.24136786188579017264276228419654714475431606905710491367861885790172642762284197,612.9592000000,713.8248000000,0,0,True
MOMENTUM_AWAY_025,USD025_TARGET_2R_BE1R,NATURAL,0.01,target_first,USD025_TARGET_2R,-0.032118061088977423638778220451527224435590969455511288180610889774236387782204515,-0.032142231075697211155378486055776892430278884462151394422310756972111553784860558,-0.000024169986719787516600265604249667994687915006640106241699867197875166002656043,0.33681938911022576361221779548472775564409030544488711819389110225763612217795485,0.27390438247011952191235059760956175298804780876494023904382470119521912350597610,256.6392000000,234.2828000000,0,0,True
MOMENTUM_AWAY_025,USD025_TARGET_2R_BE1R,NATURAL,0.02,stop_first,USD025_TARGET_2R,-0.13934913678618857901726427622841965471447543160690571049136786188579017264276228,-0.15696958831341301460823373173970783532536520584329349269588313413014608233731740,-0.01762045152722443559096945551128818061088977423638778220451527224435590969455512,0.31440903054448871181938911022576361221779548472775564409030544488711819389110226,0.24136786188579017264276228419654714475431606905710491367861885790172642762284197,848.7192000000,952.6648000000,0,0,True
MOMENTUM_AWAY_025,USD025_TARGET_2R_BE1R,NATURAL,0.02,target_first,USD025_TARGET_2R,-0.072118061088977423638778220451527224435590969455511288180610889774236387782204515,-0.072142231075697211155378486055776892430278884462151394422310756972111553784860558,-0.000024169986719787516600265604249667994687915006640106241699867197875166002656043,0.33681938911022576361221779548472775564409030544488711819389110225763612217795485,0.27390438247011952191235059760956175298804780876494023904382470119521912350597610,443.7192000000,443.6648000000,0,0,True
MOMENTUM_AWAY_025,USD030_TARGET_2R_BE1R,NATURAL,0,stop_first,USD030_TARGET_2R,-0.044823483842408145196989818503762726870296591412129260734838424081451969898185038,-0.058135292164674634794156706507304116865869853917662682602921646746347941567065065,-0.013311808322266489597166888003541389995573262505533421868083222664895971668880027,0.32005312084993359893758300132802124833997343957503320053120849933598937583001328,0.24352589641434262948207171314741035856573705179282868525896414342629482071713147,366.58333333333333333333333333333333333333333333333333333333333333333333333333333,432.42366666666666666666666666666666666666666666666666666666666666666666666666662,0,1163,True
MOMENTUM_AWAY_025,USD030_TARGET_2R_BE1R,NATURAL,0,target_first,USD030_TARGET_2R,-0.0064768702965914121292607348384240814519698981850376272687029659141212926073483848,-0.012484561752988047808764940239043824701195219123505976095617529880478087649402386,-0.0060076914563966356795042054006197432492253209384683488269145639663567950420540012,0.33283532536520584329349269588313413014608233731739707835325365205843293492695883,0.26095617529880478087649402390438247011952191235059760956175298804780876494023904,296.58333333333333333333333333333333333333333333333333333333333333333333333333333,259.10199999999999999999999999999999999999999999999999999999999999999999999999998,0,1123,True
MOMENTUM_AWAY_025,USD030_TARGET_2R_BE1R,NATURAL,0.01,stop_first,USD030_TARGET_2R,-0.078156817175741478530323151837096060203629924745462594068171757414785303231516610,-0.091468625498007968127490039840637450199203187250996015936254980079681274900396062,-0.013311808322266489597166888003541389995573262505533421868083222664895971668879452,0.32005312084993359893758300132802124833997343957503320053120849933598937583001328,0.24352589641434262948207171314741035856573705179282868525896414342629482071713147,486.18333333333333333333333333333333333333333333333333333333333333333333333332311,586.82366666666666666666666666666666666666666666666666666666666666666666666665454,0,0,True
MOMENTUM_AWAY_025,USD030_TARGET_2R_BE1R,NATURAL,0.01,target_first,USD030_TARGET_2R,-0.039810203629924745462594068171757414785303231518370960602036299247454625940680793,-0.045817895086321381142098273572377158034528552456839309428950863213811420982734703,-0.006007691456396635679504205400619743249225320938468348826914563966356795042053910,0.33283532536520584329349269588313413014608233731739707835325365205843293492695883,0.26095617529880478087649402390438247011952191235059760956175298804780876494023904,344.61666666666666666666666666666666666666666666666666666666666666666666666666425,358.65699999999999999999999999999999999999999999999999999999999999999999999999608,0,0,True
