entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,month,partial_month,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-06,False,346,346,0,0,0,0,0,34,21,21,21,0,205,141,0,0.59248554913294797687861271676300578034682080924855491329479768786127167630057803,0.9600000000,-1.0400000000,0.14497109826589595375722543352601156069364161849710982658959537572254335260115607,0.96000000000,1.3420621931260229132569558101472995090016366612111292962356792144026186579378069,AVAILABLE,196.8000000000,-146.6400000000,12.6400000000,7,1,0,0,0,2026-06,0.14497109826589595375722543352601156069364161849710982658959537572254335260115607,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-07,False,679,679,0,0,0,0,0,44,22,22,22,0,365,314,0,0.53755522827687776141384388807069219440353460972017673048600883652430044182621502,0.9600000000,-1.0400000000,0.035110456553755522827687776141384388807069219440353460972017673048600883652430044,0.96000000000,1.0730034296913277804997550220480156785889269965703086722195002449779519843214111,AVAILABLE,350.4000000000,-326.5600000000,25.4400000000,15,1,0,0,0,2026-07,0.035110456553755522827687776141384388807069219440353460972017673048600883652430044,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-08,False,220,220,0,0,0,0,0,1,20,20,21,1,102,118,0,0.46363636363636363636363636363636363636363636363636363636363636363636363636363636,0.9600000000,-1.0400000000,-0.11272727272727272727272727272727272727272727272727272727272727272727272727272727,-1.04000000000,0.79791395045632333767926988265971316818774445893089960886571056062581486310299870,AVAILABLE,97.9200000000,-122.7200000000,26.6400000000,8,0,1,0,0,2026-08,-0.11272727272727272727272727272727272727272727272727272727272727272727272727272727,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-09,True,59,59,0,0,0,0,0,0,4,4,4,0,30,29,0,0.50847457627118644067796610169491525423728813559322033898305084745762711864406780,0.9600000000,-1.0400000000,-0.023050847457627118644067796610169491525423728813559322033898305084745762711864407,0.96000000000,0.95490716180371352785145888594164456233421750663129973474801061007957559681697613,AVAILABLE,28.8000000000,-30.1600000000,9.3600000000,9,0,1,0,0,2026-09,-0.023050847457627118644067796610169491525423728813559322033898305084745762711864407,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,2026-01,False,413,413,0,0,0,0,0,9,20,20,20,0,212,201,0,0.51331719128329297820823244552058111380145278450363196125907990314769975786924939,0.9200000000,-1.0800000000,-0.053365617433414043583535108958837772397094430992736077481840193704600484261501211,0.92000000000,0.89847060991339598304772434125667956513727658006264971439100792334623180394324673,AVAILABLE,195.0400000000,-217.0800000000,33.2000000000,10,0,1,0,0,2026-01,-0.053365617433414043583535108958837772397094430992736077481840193704600484261501211,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,2026-02,False,697,697,0,0,0,0,0,65,19,19,19,0,307,390,0,0.44045911047345767575322812051649928263988522238163558106169296987087517934002869,0.9200000000,-1.0800000000,-0.19908177905308464849354375896700143472022955523672883787661406025824964131994261,-1.08000000000,0.67056030389363722697056030389363722697056030389363722697056030389363722697056030,AVAILABLE,282.4400000000,-421.2000000000,143.4800000000,16,0,1,0,0,2026-02,-0.19908177905308464849354375896700143472022955523672883787661406025824964131994261,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,2026-03,False,417,417,0,0,0,0,0,39,22,22,22,0,196,221,0,0.47002398081534772182254196642685851318944844124700239808153477218225419664268585,0.9200000000,-1.0757466063348416289592760180995475113122171945701357466063348416289592760180995,-0.13769784172661870503597122302158273381294964028776978417266187050359712230215827,-1.08000000000,0.75847564566332968789433835282241103726760326406999242870362580970808446201732986,AVAILABLE,180.3200000000,-237.7400000000,64.8600000000,14,0,1,0,0,2026-03,-0.13769784172661870503597122302158273381294964028776978417266187050359712230215827,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,2026-04,False,337,337,0,0,0,0,0,6,21,21,21,0,171,166,0,0.50741839762611275964391691394658753709198813056379821958456973293768545994065282,0.9200000000,-1.0800000000,-0.065163204747774480712166172106824925816023738872403560830860534124629080118694362,0.92000000000,0.87751004016064257028112449799196787148594377510040160642570281124497991967871486,AVAILABLE,157.3200000000,-179.2800000000,39.8400000000,10,0,1,0,0,2026-04,-0.065163204747774480712166172106824925816023738872403560830860534124629080118694362,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,2026-05,False,143,143,0,0,0,0,0,8,18,18,20,2,71,72,0,0.49650349650349650349650349650349650349650349650349650349650349650349650349650350,0.9200000000,-1.0800000000,-0.086993006993006993006993006993006993006993006993006993006993006993006993006993007,-1.08000000000,0.84002057613168724279835390946502057613168724279835390946502057613168724279835391,AVAILABLE,65.3200000000,-77.7600000000,23.8000000000,10,0,1,0,0,2026-05,-0.086993006993006993006993006993006993006993006993006993006993006993006993006993007,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,2026-06,False,346,346,0,0,0,0,0,34,21,21,21,0,171,175,0,0.49421965317919075144508670520231213872832369942196531791907514450867052023121387,0.9200000000,-1.0800000000,-0.091560693641618497109826589595375722543352601156069364161849710982658959537572254,-1.08000000000,0.83238095238095238095238095238095238095238095238095238095238095238095238095238095,AVAILABLE,157.3200000000,-189.0000000000,50.0000000000,10,0,1,0,0,2026-06,-0.091560693641618497109826589595375722543352601156069364161849710982658959537572254,,AVAILABLE,AVAILABLE,AVAILABLE
