entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,-0.0024988654860892568882738032879133689802150133073778918668261919164497138363181199,0.12320337142733641469296011213926016493610346946273808751925849766736753704269752,0.9691,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,0.012671694025606605176171711485442919210727637523636311147678228611844859192540308,0.14897530482446132343241885458407429548866955167710404689843072878863078904397940,0.9911,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,-0.0024988654860892568882738032879133689802150133073778918668261919164497138363181199,0.12320337142733641469296011213926016493610346946273808751925849766736753704269752,0.9691,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,0.012671694025606605176171711485442919210727637523636311147678228611844859192540308,0.14897530482446132343241885458407429548866955167710404689843072878863078904397940,0.9911,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,0.021393638760790304218126269977374587482526552434753786514101252323788387543053133,0.14705981846681693233021523086012215278190069595781490087904998000932482999622606,0.9954,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,0.041124052131952282231378966336634954116151303771382831680567455955122900663594163,0.17667401226506160922150928397024586905911078303333144057691215717449321446823008,0.9996,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,0.021393638760790304218126269977374587482526552434753786514101252323788387543053133,0.14705981846681693233021523086012215278190069595781490087904998000932482999622606,0.9954,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,0.041124052131952282231378966336634954116151303771382831680567455955122900663594163,0.17667401226506160922150928397024586905911078303333144057691215717449321446823008,0.9996,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,0.021393638760790304218126269977374587482526552434753786514101252323788387543053133,0.14705981846681693233021523086012215278190069595781490087904998000932482999622606,0.9954,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,0.041124052131952282231378966336634954116151303771382831680567455955122900663594163,0.17667401226506160922150928397024586905911078303333144057691215717449321446823008,0.9996,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,0.017380785612715025373556013378364341709588591768539798582478177962171309870794493,0.12247693316864148152354836572408300577503201214771425828496017242614895553184786,0.9966,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,0.013935907543157669813239039554448109127127727402750924499495100928118225650251415,0.11862194722303007420333039105138108673949239683730201248684051641300114459870165,0.9944,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,0.017380785612715025373556013378364341709588591768539798582478177962171309870794493,0.12247693316864148152354836572408300577503201214771425828496017242614895553184786,0.9966,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,0.013935907543157669813239039554448109127127727402750924499495100928118225650251415,0.11862194722303007420333039105138108673949239683730201248684051641300114459870165,0.9944,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,0.017380785612715025373556013378364341709588591768539798582478177962171309870794493,0.12247693316864148152354836572408300577503201214771425828496017242614895553184786,0.9966,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,0.013935907543157669813239039554448109127127727402750924499495100928118225650251415,0.11862194722303007420333039105138108673949239683730201248684051641300114459870165,0.9944,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,-0.00045618248267551578352122952446495089475018510140464266526728727950801543346358175,0.11566438539054518435961734930807095755549363796786477198848332868951425652456581,0.9739,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,-0.0010963481217423836611143704988563800389425979304304942648946934333256808577574846,0.12641350303935777129928581154303130006919924720172046861506379946766940292800480,0.972,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,-0.00045618248267551578352122952446495089475018510140464266526728727950801543346358175,0.11566438539054518435961734930807095755549363796786477198848332868951425652456581,0.9739,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,-0.0010963481217423836611143704988563800389425979304304942648946934333256808577574846,0.12641350303935777129928581154303130006919924720172046861506379946766940292800480,0.972,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,-0.00045618248267551578352122952446495089475018510140464266526728727950801543346358175,0.11566438539054518435961734930807095755549363796786477198848332868951425652456581,0.9739,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,-0.0010963481217423836611143704988563800389425979304304942648946934333256808577574846,0.12641350303935777129928581154303130006919924720172046861506379946766940292800480,0.972,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,-0.016637917597668217228745420214827875104725462980330369759037651148541346238011279,0.11495039986601667472294779580656589453438507193979492825335250575757252304935069,0.923,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,-0.014612974027415552878056881595246931467896282513391729918336290444210586965326391,0.12586725910311082740480534738498953673372793092038779118971137911566690655599141,0.9381,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,-0.016637917597668217228745420214827875104725462980330369759037651148541346238011279,0.11495039986601667472294779580656589453438507193979492825335250575757252304935069,0.923,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,-0.014612974027415552878056881595246931467896282513391729918336290444210586965326391,0.12586725910311082740480534738498953673372793092038779118971137911566690655599141,0.9381,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,-0.016637917597668217228745420214827875104725462980330369759037651148541346238011279,0.11495039986601667472294779580656589453438507193979492825335250575757252304935069,0.923,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,-0.014612974027415552878056881595246931467896282513391729918336290444210586965326391,0.12586725910311082740480534738498953673372793092038779118971137911566690655599141,0.9381,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,0.027449974006433826247721621410504453939826971096493997884850480779853087747738060,0.14441737260723218775120659230150876080488593819557203844441668828444512767299828,0.9984,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD030_TARGET_2R_BE1R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,0.035503577454631533458297894594869846932175071496794686528875346473879929425300644,0.16061104527731033535888505499452837226247715020142868889093003807128347653150215,0.9994,AVAILABLE,WHOLE_SESSION
