entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,atr_reference_model,comparison,paired_mean_r_difference,left_eligible_entries,right_eligible_entries,left_missing_partner,right_missing_partner,common_eligible_identities,common_usable_identities,common_unavailable_attrition,left_common_atr_unavailable,right_common_atr_unavailable,common_contributing_sessions,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
MOMENTUM_AWAY_025,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.0080906773739823742262072325382629692451024216367791928540336219850162648953985198,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.048086930783453003100386729190894353294295113605738629259350234627370783305807717,0.030707017635112749913637290257858961589060453446850372589823883865088826093459254,0.3423,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.0011214438381388378950048886738582428761096995753420192671784992271049472258136082,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.037678574428452593249174137080966675831236235627781035582748424606886589247069538,0.038337210105394956608017210071126391321234810082041815799273630217503282598581979,0.5257,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.0073126234594285503208362474312857642768986274032153737956637281851632234523205988,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.047650081865005377002464970568369240886055408626673853765908604736819283117848687,0.031916423087242481812190954747101711044810010538341505549258848920248371828020868,0.3569,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.0018994977526926618003758737808354478443134938089058383255483930269579886688915209,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.037437855222871257259534790519348308395409145826596249104244485521184692443340831,0.039397499743787247035808485459791638712544482508437422734991435314835668872888321,0.5392,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.034409073956374606275930886307676414733684802347701822799834688110931856359157581,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.091511940244899703842979183682921120041299260215881871786489174092775123676269893,0.021799067555556850864823640395707588338166837349530868292525435663906430913633759,0.1142,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,0.023772744225443575542250931874141767084497015834116359018347130070886325459024237,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.030306178594201500803406611673461280168225216611847094859055864978925057042138630,0.077895181109653777856760900547078622552975321148523042109685304512616637796578590,0.8063,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.048631020041820782370559901200699209765481008114138003741464794311078814916079648,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.10607049777257297443066031082106774749561803372527442528415893017742911403600104,0.0080007790450227474795504502153383500063957549861686000302462100095050191998718375,0.0466,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,0.0095507981399973994476219169811189720527008100676801780767170238707393669021021607,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.044700886558897654967333264188445313735810031869414206390476970782520493167194103,0.064160923109287767513573625992581065724021205656246462340692545935321502503652151,0.6332,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.062852966127266958465188916093722004797277213880574184683094900511225773473001668,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.12064524172392422088081328734182293986692428601567894387377476707347739325041189,-0.0059710242644604110342381197889922151023020800004040800724040738261134027331635205,0.0154,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.0046711479454487766470070979119038229790953956987560028649130823294075916548199202,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.058941189665356135734644530309704004305897335199251807970232129344257083755361615,0.050045520445712919352760578842532973645423445969343506211033947840315529911007551,0.4327,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.021370075976576626477951088327878434935705004367903843001854890131133876561177782,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.073321041768159361625939094977939355598346564375069396686448220942129566097082310,0.031707748567408036818233840510695674101221020786045628350979781411684858321630474,0.2139,AVAILABLE,WHOLE_SESSION
