entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,context_field,context_value,evidence_label,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,PDL,DESCRIPTIVE_ONLY,204,204,0,0,0,0,0,1,66,66,170,104,81,123,0,0.39705882352941176470588235294117647058823529411764705882352941176470588235294118,1.4824074074074074074074074074074074074074074074074074074074074074074074074074074,-0.99817073170731707317073170731707317073170731707317073170731707317073170731707317,-0.013235294117647058823529411764705882352941176470588235294117647058823529411764706,-1.00000000000,0.97800855222968845448992058643860720830788026878436163714111178985949908368967624,AVAILABLE,120.0750000000,-122.7750000000,14.7750000000,9,3,5,0,1,2026-05,-0.2187500000,-0.0640000000,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,PMH,SPARSE_INSUFFICIENT,3,3,0,0,0,0,0,0,2,2,170,168,1,2,0,0.33333333333333333333333333333333333333333333333333333333333333333333333333333333,1.5000000000,-1.0000000000,-0.16666666666666666666666666666666666666666666666666666666666666666666666666666667,-1.00000000000,0.75,AVAILABLE,1.5000000000,-2.0000000000,2.0000000000,2,1,1,0,7,2026-04,-1.0000000000,-1.0000000000,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,PML,SPARSE_INSUFFICIENT,7,7,0,0,0,0,0,0,2,2,170,168,5,2,0,0.71428571428571428571428571428571428571428571428571428571428571428571428571428571,1.5000000000,-1.0000000000,0.78571428571428571428571428571428571428571428571428571428571428571428571428571429,1.50000000000,3.75,AVAILABLE,7.5000000000,-2.0000000000,1.0000000000,1,2,0,0,7,2026-03,0.2500000000,0.2500000000,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,PWH,DESCRIPTIVE_ONLY,95,95,0,0,0,0,0,2,39,39,170,131,41,54,0,0.43157894736842105263157894736842105263157894736842105263157894736842105263157895,1.5000000000,-1.0000000000,0.078947368421052631578947368421052631578947368421052631578947368421052631578947368,-1.00000000000,1.1388888888888888888888888888888888888888888888888888888888888888888888888888889,AVAILABLE,61.5000000000,-54.0000000000,8.5000000000,7,5,2,0,2,2026-07,-0.3750000000,-0.0312500000,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,PWL,DESCRIPTIVE_ONLY,87,87,0,0,0,0,0,2,33,33,170,137,35,52,0,0.40229885057471264367816091954022988505747126436781609195402298850574712643678161,1.5000000000,-1.0000000000,0.0057471264367816091954022988505747126436781609195402298850574712643678160919540230,-1.00000000000,1.0096153846153846153846153846153846153846153846153846153846153846153846153846154,AVAILABLE,52.5000000000,-52.0000000000,7.5000000000,6,5,2,1,1,2026-06,-0.2187500000,-0.032258064516129032258064516129032258064516129032258064516129032258064516129032258,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,same_session_touch,1,DESCRIPTIVE_ONLY,2288,2288,0,0,0,0,0,29,170,170,170,0,938,1350,0,0.40996503496503496503496503496503496503496503496503496503496503496503496503496503,1.4973614072494669509594882729211087420042643923240938166311300639658848614072495,-0.99907407407407407407407407407407407407407407407407407407407407407407407407407407,0.024377185314685314685314685314685314685314685314685314685314685314685314685314685,-1.00000000000,1.0413531047265987025023169601482854494902687673772011121408711770157553290083411,AVAILABLE,1404.5250000000,-1348.7500000000,63.5750000000,34,5,4,0,0,2026-09,-0.25531914893617021276595744680851063829787234042553191489361702127659574468085106,-0.00085692995529061102831594634873323397913561847988077496274217585692995529061102832,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,same_session_touch,REPEATED,DESCRIPTIVE_ONLY,3736,3736,0,0,0,0,0,31,168,168,170,2,1472,2263,1,0.39400428265524625267665952890792291220556745182012847965738758029978586723768737,1.4789147418478260869565217391304347826086956521739130434782608695652173913043478,-0.99757070260715863897481219619973486522315510384445426425099425541316836058329651,-0.021557815845824411134903640256959314775160599571734475374732334047109207708779443,-1.00000000000,0.96432340606488807875074335465852197284388389381628591773431037174931146255651987,AVAILABLE,2176.9625000000,-2257.5025000000,212.2900000000,29,4,5,0,0,2026-07,-0.20642465753424657534246575342465753424657534246575342465753424657534246575342466,-0.045727891156462585034013605442176870748299319727891156462585034013605442176870748,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,time_of_day,09:30-10:00,DESCRIPTIVE_ONLY,1060,1060,0,0,0,0,0,17,169,169,170,1,431,629,0,0.40660377358490566037735849056603773584905660377358490566037735849056603773584906,1.5000000000,-1.0000000000,0.016509433962264150943396226415094339622641509433962264150943396226415094339622642,-1.00000000000,1.0278219395866454689984101748807631160572337042925278219395866454689984101748808,AVAILABLE,646.5000000000,-629.0000000000,43.5000000000,24,4,3,2,0,2026-09,-0.34210526315789473684210526315789473684210526315789473684210526315789473684210526,0.0010822510822510822510822510822510822510822510822510822510822510822510822510822511,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,time_of_day,10:00-11:00,DESCRIPTIVE_ONLY,1309,1309,0,0,0,0,0,22,160,160,170,10,517,792,0,0.39495798319327731092436974789915966386554621848739495798319327731092436974789916,1.5000000000,-1.0000000000,-0.012605042016806722689075630252100840336134453781512605042016806722689075630252101,-1.00000000000,0.97916666666666666666666666666666666666666666666666666666666666666666666666666667,AVAILABLE,775.5000000000,-792.0000000000,71.5000000000,24,4,5,0,0,2026-03,-0.28797468354430379746835443037974683544303797468354430379746835443037974683544304,-0.044411177644710578842315369261477045908183632734530938123752495009980039920159681,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,time_of_day,11:00-12:00,DESCRIPTIVE_ONLY,885,885,0,0,0,0,0,7,151,151,170,19,333,552,0,0.37627118644067796610169491525423728813559322033898305084745762711864406779661017,1.5000000000,-1.0000000000,-0.059322033898305084745762711864406779661016949152542372881355932203389830508474576,-1.00000000000,0.90489130434782608695652173913043478260869565217391304347826086956521739130434783,AVAILABLE,499.5000000000,-552.0000000000,96.0000000000,26,4,5,0,0,2026-07,-0.30635838150289017341040462427745664739884393063583815028901734104046242774566474,-0.12073490813648293963254593175853018372703412073490813648293963254593175853018373,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,time_of_day,12:00-14:00,DESCRIPTIVE_ONLY,1398,1398,0,0,0,0,0,0,156,156,170,14,598,800,0,0.42775393419170243204577968526466380543633762517882689556509298998569384835479256,1.5000000000,-1.0000937500,0.069331187410586552217453505007153075822603719599427753934191702432045779685264664,-1.00000000000,1.1211448926663125332000124988282348529825328875417929569102896603443427178701997,AVAILABLE,897.0000000000,-800.0750000000,87.5500000000,20,7,2,0,0,2026-07,-0.18912213740458015267175572519083969465648854961832061068702290076335877862595420,0.0339400000,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,time_of_day,14:00-15:00,DESCRIPTIVE_ONLY,681,681,0,0,0,0,0,3,131,131,170,39,262,419,0,0.38472834067547723935389133627019089574155653450807635829662261380323054331864905,1.4678912213740458015267175572519083969465648854961832061068702290076335877862595,-1.0000000000,-0.050532305433186490455212922173274596182085168869309838472834067547723935389133627,-1.00000000000,0.91786992840095465393794749403341288782816229116945107398568019093078758949880668,AVAILABLE,384.5875000000,-419.0000000000,81.4125000000,33,5,3,1,0,2026-01,-0.42528735632183908045977011494252873563218390804597701149425287356321839080459770,-0.10201175406871609403254972875226039783001808318264014466546112115732368896925859,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,time_of_day,15:00-close,DESCRIPTIVE_ONLY,691,691,0,0,0,0,0,11,133,133,170,37,269,421,1,0.38929088277858176555716353111432706222865412445730824891461649782923299565846599,1.4066914498141263940520446096654275092936802973977695167286245353159851301115242,-0.98379453681710213776722090261282660332541567695961995249406175771971496437054632,-0.051776410998552821997105643994211287988422575976845151953690303907380607814761216,-1.00000000000,0.91361795365513578115662970586282451364451231657924440608193347055308412456012217,AVAILABLE,378.4000000000,-414.1775000000,63.6775000000,20,2,6,1,0,2026-04,-0.32386363636363636363636363636363636363636363636363636363636363636363636363636364,-0.082926936619718309859154929577464788732394366197183098591549295774647887323943662,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0.01,stop_first,approach_side,ABOVE,DESCRIPTIVE_ONLY,3036,3036,0,0,0,0,0,30,169,169,170,1,1201,1835,0,0.39558629776021080368906455862977602108036890645586297760210803689064558629776021,1.4587531223980016652789342214820982514571190674437968359700249791840133222314738,-1.0227534059945504087193460490463215258855585831062670299727520435967302452316076,-0.041103425559947299077733860342555994729907773386034255599472990777338603425559947,-1.02500000000,0.93350748167379555908410938576077559507713457155378772640505341007937914029686919,AVAILABLE,1751.9625000000,-1876.7525000000,198.5900000000,34,3,6,0,0,2026-06,-0.22286096256684491978609625668449197860962566844919786096256684491978609625668449,-0.074043509528946422150305645451276519237684286227975548363897878460985257101761956,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0.01,stop_first,approach_side,BELOW,DESCRIPTIVE_ONLY,2988,2988,0,0,0,0,0,30,170,170,170,0,1148,1839,1,0.38420348058902275769745649263721552878179384203480589022757697456492637215528782,1.4640897212543554006968641114982578397212543554006968641114982578397212543554007,-1.0230288200108754758020663404023926046764545948885263730288200108754758020663404,-0.067126840696117804551539491298527443105756358768406961178045515394912985274431058,-1.02500000000,0.89338772689823796741701437797326387966088181359130411672469237515613787971403513,AVAILABLE,1680.7750000000,-1881.3500000000,259.0500000000,36,3,6,0,0,2026-09,-0.35714285714285714285714285714285714285714285714285714285714285714285714285714286,-0.10058039552880481513327601031814273430782459157351676698194325021496130696474635,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0.01,stop_first,breach_history,COMPLETED_CLOSE_THROUGH,DESCRIPTIVE_ONLY,5368,5368,0,0,0,0,0,52,168,168,170,2,2078,3289,1,0.38710879284649776453055141579731743666169895678092399403874813710879284649776453,1.4599314244465832531280076997112608277189605389797882579403272377285851780558229,-1.0230244755244755244755244755244755244755244755244755244755244755244755244755245,-0.061659836065573770491803278688524590163934426229508196721311475409836065573770492,-1.02500000000,0.90162947816725128557959002623540836516478674721801394020763940021888845381981156,AVAILABLE,3033.7375000000,-3364.7275000000,361.7400000000,43,3,6,0,0,2026-07,-0.22309738503155996393146979260595130748422001803426510369702434625788999098286745,-0.077891825445605408727719729563614013521819299323909035033804548248309772587584511,AVAILABLE,AVAILABLE,AVAILABLE
