family,distance,horizon,draws,seed,contributing_sessions,resampling_sessions,undefined_draws,REJECTION_FIRST_lower_pct,REJECTION_FIRST_upper_pct,CONTINUATION_FIRST_lower_pct,CONTINUATION_FIRST_upper_pct,AMBIGUOUS_lower_pct,AMBIGUOUS_upper_pct,UNRESOLVED_lower_pct,UNRESOLVED_upper_pct,CENSORED_lower_pct,CENSORED_upper_pct
PML,1.00,30,2000,20260907,2,170,278,33.333333333333333333333333333333333333333333333333,50.0,0,33.333333333333333333333333333333333333333333333333,0,50.0,0,33.333333333333333333333333333333333333333333333333,0,0
ORH5,0.25,5,2000,20260907,154,170,0,15.730337078651685393258426966292134831460674157303,23.486682808716707021791767554479418886198547215496,8.9430894308943089430894308943089430894308943089431,15.555555555555555555555555555555555555555555555556,56.152125279642058165548098434004474272930648769575,67.415730337078651685393258426966292134831460674157,3.8793103448275862068965517241379310344827586206897,9.5348837209302325581395348837209302325581395348837,0,0
ORH5,0.25,15,2000,20260907,154,170,0,18.850574712643678160919540229885057471264367816092,27.096774193548387096774193548387096774193548387097,11.337868480725623582766439909297052154195011337868,18.719211822660098522167487684729064039408866995074,56.152125279642058165548098434004474272930648769575,67.415730337078651685393258426966292134831460674157,0,1.1820330969267139479905437352245862884160756501182,0,0
ORH5,0.25,30,2000,20260907,154,170,0,19.047619047619047619047619047619047619047619047619,27.293577981651376146788990825688073394495412844037,11.464968152866242038216560509554140127388535031847,18.859649122807017543859649122807017543859649122807,56.152125279642058165548098434004474272930648769575,67.415730337078651685393258426966292134831460674157,0,0,0,0
ORH5,0.50,5,2000,20260907,154,170,0,17.910447761194029850746268656716417910447761194030,24.944320712694877505567928730512249443207126948775,15.254237288135593220338983050847457627118644067797,22.760290556900726392251815980629539951573849878935,18.262806236080178173719376391982182628062360801782,27.601809954751131221719457013574660633484162895928,30.808080808080808080808080808080808080808080808081,41.975308641975308641975308641975308641975308641975,0,1.1650485436893203883495145631067961165048543689320
ORH5,0.50,15,2000,20260907,154,170,0,28.781512605042016806722689075630252100840336134454,37.198067632850241545893719806763285024154589371981,28.764044943820224719101123595505617977528089887640,36.899563318777292576419213973799126637554585152838,18.262806236080178173719376391982182628062360801782,27.601809954751131221719457013574660633484162895928,7.1258907363420427553444180522565320665083135391924,13.752913752913752913752913752913752913752913752914,0.23923444976076555023923444976076555023923444976077,2.1881838074398249452954048140043763676148796498906
ORH5,0.50,30,2000,20260907,154,170,0,31.2500,39.874739039665970772442588726513569937369519832985,32.819383259911894273127753303964757709251101321586,41.596638655462184873949579831932773109243697478992,18.262806236080178173719376391982182628062360801782,27.601809954751131221719457013574660633484162895928,1.3667425968109339407744874715261958997722095671982,5.3012048192771084337349397590361445783132530120482,0.45662100456621004566210045662100456621004566210046,2.4830699774266365688487584650112866817155756207675
ORH5,1.00,5,2000,20260907,154,170,0,6.9264069264069264069264069264069264069264069264069,11.872146118721461187214611872146118721461187214612,5.2192066805845511482254697286012526096033402922756,10.669975186104218362282878411910669975186104218362,2.0361990950226244343891402714932126696832579185520,5.4761904761904761904761904761904761904761904761905,73.483146067415730337078651685393258426966292134831,82.165605095541401273885350318471337579617834394904,0.44345898004434589800443458980044345898004434589800,2.5287356321839080459770114942528735632183908045977
ORH5,1.00,15,2000,20260907,154,170,0,19.727891156462585034013605442176870748299319727891,27.845036319612590799031476997578692493946731234867,17.523364485981308411214953271028037383177570093458,26.057906458797327394209354120267260579064587973274,2.0361990950226244343891402714932126696832579185520,5.4761904761904761904761904761904761904761904761905,41.878172588832487309644670050761421319796954314721,54.502369668246445497630331753554502369668246445498,1.2106537530266343825665859564164648910411622276029,3.8543897216274089935760171306209850107066381156317
ORH5,1.00,30,2000,20260907,154,170,0,30.227743271221532091097308488612836438923395445135,39.869281045751633986928104575163398692810457516340,28.066037735849056603773584905660377358490566037736,37.092731829573934837092731829573934837092731829574,2.0361990950226244343891402714932126696832579185520,5.4761904761904761904761904761904761904761904761905,19.377990430622009569377990430622009569377990430622,31.207289293849658314350797266514806378132118451025,1.9950124688279301745635910224438902743142144638404,5.00
ORL5,0.25,5,2000,20260907,145,170,0,18.615751789976133651551312649164677804295942720764,25.829383886255924170616113744075829383886255924171,4.6315789473684210526315789473684210526315789473684,9.2715231788079470198675496688741721854304635761589,58.101851851851851851851851851851851851851851851852,69.117647058823529411764705882352941176470588235294,4.4226044226044226044226044226044226044226044226044,10.503282275711159737417943107221006564551422319475,0,0
ORL5,0.25,15,2000,20260907,145,170,0,20.487804878048780487804878048780487804878048780488,28.223844282238442822384428223844282238442822384428,7.812500,15.366972477064220183486238532110091743119266055046,58.101851851851851851851851851851851851851851851852,69.117647058823529411764705882352941176470588235294,0,1.1961722488038277511961722488038277511961722488038,0,0
ORL5,0.25,30,2000,20260907,145,170,0,20.601851851851851851851851851851851851851851851852,28.571428571428571428571428571428571428571428571429,7.812500,15.366972477064220183486238532110091743119266055046,58.101851851851851851851851851851851851851851851852,69.117647058823529411764705882352941176470588235294,0,0.74812967581047381546134663341645885286783042394015,0,0
ORL5,0.50,5,2000,20260907,145,170,0,20.0,27.577937649880095923261390887290167865707434052758,10.512820512820512820512820512820512820512820512821,17.718446601941747572815533980582524271844660194175,22.196796338672768878718535469107551487414187643021,31.216931216931216931216931216931216931216931216931,28.720626631853785900783289817232375979112271540470,41.404358353510895883777239709443099273607748184019,0,1.5909090909090909090909090909090909090909090909091
ORL5,0.50,15,2000,20260907,145,170,0,31.172069825436408977556109725685785536159600997506,39.736842105263157894736842105263157894736842105263,22.596153846153846153846153846153846153846153846154,31.486146095717884130982367758186397984886649874055,22.510822510822510822510822510822510822510822510823,31.408775981524249422632794457274826789838337182448,6.3781321184510250569476082004555808656036446469248,14.022988505747126436781609195402298850574712643678,0.22321428571428571428571428571428571428571428571429,1.9512195121951219512195121951219512195121951219512
ORL5,0.50,30,2000,20260907,145,170,0,33.668341708542713567839195979899497487437185929648,42.063492063492063492063492063492063492063492063492,26.430517711171662125340599455040871934604904632153,35.406698564593301435406698564593301435406698564593,22.510822510822510822510822510822510822510822510823,31.408775981524249422632794457274826789838337182448,1.7721518987341772151898734177215189873417721518987,5.1440329218106995884773662551440329218106995884774,0.22321428571428571428571428571428571428571428571429,1.9512195121951219512195121951219512195121951219512
