family,creation_first_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PML,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,True,0.25,5,154,154,29,13,108,4,0,18.83,8.44,70.13,2.60,0.00,1,0.380000000000,0.360000000000,0.522500000000,0.385000000000,9,31.03,9,0,120
ORH5,True,0.25,15,154,154,31,15,108,0,0,20.13,9.74,70.13,0.00,0.00,2,0.730000000000,0.660000000000,0.745000000000,0.670000000000,19,61.29,11,8,120
ORH5,True,0.25,30,154,154,31,15,108,0,0,20.13,9.74,70.13,0.00,0.00,2,1.050000000000,0.882500000000,1.090500000000,0.882500000000,22,70.97,11,11,300
ORH5,True,0.50,5,154,154,38,34,43,39,0,24.68,22.08,27.92,25.32,0.00,1,0.380000000000,0.360000000000,0.522500000000,0.385000000000,7,18.42,7,0,60
ORH5,True,0.50,15,154,154,53,50,43,8,0,34.42,32.47,27.92,5.19,0.00,2,0.730000000000,0.660000000000,0.745000000000,0.670000000000,25,47.17,15,10,180
ORH5,True,0.50,30,154,154,55,55,43,1,0,35.71,35.71,27.92,0.65,0.00,2,1.050000000000,0.882500000000,1.090500000000,0.882500000000,38,69.09,16,22,510
ORH5,True,1.00,5,154,154,25,14,7,108,0,16.23,9.09,4.55,70.13,0.00,1,0.380000000000,0.360000000000,0.522500000000,0.385000000000,1,4.00,1,0,60
ORH5,True,1.00,15,154,154,53,41,7,53,0,34.42,26.62,4.55,34.42,0.00,2,0.730000000000,0.660000000000,0.745000000000,0.670000000000,14,26.42,5,9,420
ORH5,True,1.00,30,154,154,65,58,7,24,0,42.21,37.66,4.55,15.58,0.00,2,1.050000000000,0.882500000000,1.090500000000,0.882500000000,28,43.08,7,21,510
ORH5,False,0.25,5,104,285,56,40,164,25,0,19.65,14.04,57.54,8.77,0.00,7,0.275000000000,0.279900000000,0.400000000000,0.290000000000,15,26.79,15,0,120
ORH5,False,0.25,15,104,285,69,50,164,2,0,24.21,17.54,57.54,0.70,0.00,13,0.500000000000,0.510000000000,0.610000000000,0.511000000000,34,49.28,23,11,180
ORH5,False,0.25,30,104,285,70,51,164,0,0,24.56,17.89,57.54,0.00,0.00,18,0.710100000000,0.660000000000,0.780000000000,0.660000000000,47,67.14,24,23,240
ORH5,False,0.50,5,104,285,56,49,57,121,2,19.65,17.19,20.00,42.46,0.70,7,0.275000000000,0.279900000000,0.400000000000,0.290000000000,4,7.14,4,0,120
ORH5,False,0.50,15,104,285,92,94,57,37,5,32.28,32.98,20.00,12.98,1.75,13,0.500000000000,0.510000000000,0.610000000000,0.511000000000,30,32.61,17,13,300
ORH5,False,0.50,30,104,285,101,108,57,13,6,35.44,37.89,20.00,4.56,2.11,18,0.710100000000,0.660000000000,0.780000000000,0.660000000000,51,50.50,17,34,480
ORH5,False,1.00,5,104,285,16,20,9,234,6,5.61,7.02,3.16,82.11,2.11,7,0.275000000000,0.279900000000,0.400000000000,0.290000000000,0,0.00,0,0,
ORH5,False,1.00,15,104,285,51,54,9,160,11,17.89,18.95,3.16,56.14,3.86,13,0.500000000000,0.510000000000,0.610000000000,0.511000000000,7,13.73,3,4,360
ORH5,False,1.00,30,104,285,89,85,9,87,15,31.23,29.82,3.16,30.53,5.26,18,0.710100000000,0.660000000000,0.780000000000,0.660000000000,23,25.84,7,16,540
ORH5,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,True,0.25,5,145,145,27,7,110,1,0,18.62,4.83,75.86,0.69,0.00,2,0.430000000000,0.380000000000,0.570000000000,0.406300000000,9,33.33,9,0,180
ORL5,True,0.25,15,145,145,27,8,110,0,0,18.62,5.52,75.86,0.00,0.00,2,0.789900000000,0.732500000000,0.830000000000,0.755000000000,13,48.15,9,4,180
ORL5,True,0.25,30,145,145,27,8,110,0,0,18.62,5.52,75.86,0.00,0.00,2,1.220000000000,0.940000000000,1.260000000000,0.990000000000,16,59.26,9,7,180
ORL5,True,0.50,5,145,145,46,26,47,25,1,31.72,17.93,32.41,17.24,0.69,2,0.430000000000,0.380000000000,0.570000000000,0.406300000000,13,28.26,13,0,120
ORL5,True,0.50,15,145,145,58,36,48,2,1,40.00,24.83,33.10,1.38,0.69,2,0.789900000000,0.732500000000,0.830000000000,0.755000000000,27,46.55,23,4,180
ORL5,True,0.50,30,145,145,59,37,48,0,1,40.69,25.52,33.10,0.00,0.69,2,1.220000000000,0.940000000000,1.260000000000,0.990000000000,30,50.85,23,7,180
