family,time_of_day,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,09:30-10:00,1.00,15,50,50,15,18,4,13,0,30.00,36.00,8.00,26.00,0.00,0,0.635100000000,0.750000000000,0.772000000000,0.755000000000,4,26.67,3,1,210
PDH,09:30-10:00,1.00,30,50,50,19,24,4,3,0,38.00,48.00,8.00,6.00,0.00,0,1.198150000000,1.075000000000,1.198150000000,1.096000000000,5,26.32,4,1,240
PDH,10:00-11:00,0.25,5,47,55,7,7,40,1,0,12.73,12.73,72.73,1.82,0.00,0,0.290000000000,0.440000000000,0.455000000000,0.440000000000,3,42.86,3,0,120
PDH,10:00-11:00,0.25,15,47,55,7,8,40,0,0,12.73,14.55,72.73,0.00,0.00,0,0.520000000000,0.605000000000,0.620000000000,0.605000000000,6,85.71,4,2,210
PDH,10:00-11:00,0.25,30,47,55,7,8,40,0,0,12.73,14.55,72.73,0.00,0.00,0,0.720000000000,0.960000000000,0.770000000000,0.960000000000,6,85.71,4,2,210
PDH,10:00-11:00,0.50,5,47,55,14,13,14,14,0,25.45,23.64,25.45,25.45,0.00,0,0.290000000000,0.440000000000,0.455000000000,0.440000000000,4,28.57,4,0,90
PDH,10:00-11:00,0.50,15,47,55,16,21,14,4,0,29.09,38.18,25.45,7.27,0.00,0,0.520000000000,0.605000000000,0.620000000000,0.605000000000,8,50.00,7,1,150
PDH,10:00-11:00,0.50,30,47,55,17,24,14,0,0,30.91,43.64,25.45,0.00,0.00,0,0.720000000000,0.960000000000,0.770000000000,0.960000000000,9,52.94,7,2,180
PDH,10:00-11:00,1.00,5,47,55,3,5,6,41,0,5.45,9.09,10.91,74.55,0.00,0,0.290000000000,0.440000000000,0.455000000000,0.440000000000,1,33.33,1,0,60
PDH,10:00-11:00,1.00,15,47,55,13,13,6,23,0,23.64,23.64,10.91,41.82,0.00,0,0.520000000000,0.605000000000,0.620000000000,0.605000000000,3,23.08,2,1,180
PDH,10:00-11:00,1.00,30,47,55,17,19,6,13,0,30.91,34.55,10.91,23.64,0.00,0,0.720000000000,0.960000000000,0.770000000000,0.960000000000,5,29.41,3,2,240
PDH,11:00-12:00,0.25,5,30,34,7,5,19,3,0,20.59,14.71,55.88,8.82,0.00,0,0.290000000000,0.330000000000,0.480000000000,0.330000000000,3,42.86,3,0,60
PDH,11:00-12:00,0.25,15,30,34,8,7,19,0,0,23.53,20.59,55.88,0.00,0.00,0,0.580000000000,0.570000000000,0.625000000000,0.570000000000,5,62.50,5,0,120
PDH,11:00-12:00,0.25,30,30,34,8,7,19,0,0,23.53,20.59,55.88,0.00,0.00,0,0.655000000000,0.685000000000,0.745000000000,0.685000000000,5,62.50,5,0,120
PDH,11:00-12:00,0.50,5,30,34,9,5,8,12,0,26.47,14.71,23.53,35.29,0.00,0,0.290000000000,0.330000000000,0.480000000000,0.330000000000,2,22.22,2,0,60
PDH,11:00-12:00,0.50,15,30,34,13,11,8,2,0,38.24,32.35,23.53,5.88,0.00,0,0.580000000000,0.570000000000,0.625000000000,0.570000000000,5,38.46,4,1,120
PDH,11:00-12:00,0.50,30,30,34,14,12,8,0,0,41.18,35.29,23.53,0.00,0.00,0,0.655000000000,0.685000000000,0.745000000000,0.685000000000,8,57.14,4,4,330
PDH,11:00-12:00,1.00,5,30,34,4,1,2,27,0,11.76,2.94,5.88,79.41,0.00,0,0.290000000000,0.330000000000,0.480000000000,0.330000000000,0,0.00,0,0,
PDH,11:00-12:00,1.00,15,30,34,6,7,2,19,0,17.65,20.59,5.88,55.88,0.00,0,0.580000000000,0.570000000000,0.625000000000,0.570000000000,2,33.33,1,1,330
PDH,11:00-12:00,1.00,30,30,34,12,13,2,7,0,35.29,38.24,5.88,20.59,0.00,0,0.655000000000,0.685000000000,0.745000000000,0.685000000000,3,25.00,1,2,360
PDH,12:00-14:00,0.25,5,27,46,11,5,21,9,0,23.91,10.87,45.65,19.57,0.00,0,0.255000000000,0.162450000000,0.345000000000,0.167500000000,1,9.09,1,0,60
PDH,12:00-14:00,0.25,15,27,46,16,7,21,2,0,34.78,15.22,45.65,4.35,0.00,0,0.350000000000,0.277500000000,0.455000000000,0.277500000000,6,37.50,1,5,360
PDH,12:00-14:00,0.25,30,27,46,17,8,21,0,0,36.96,17.39,45.65,0.00,0.00,0,0.482500000000,0.456250000000,0.574950000000,0.456250000000,9,52.94,1,8,600
PDH,12:00-14:00,0.50,5,27,46,7,4,11,24,0,15.22,8.70,23.91,52.17,0.00,0,0.255000000000,0.162450000000,0.345000000000,0.167500000000,0,0.00,0,0,
PDH,12:00-14:00,0.50,15,27,46,11,8,11,16,0,23.91,17.39,23.91,34.78,0.00,0,0.350000000000,0.277500000000,0.455000000000,0.277500000000,3,27.27,1,2,420
PDH,12:00-14:00,0.50,30,27,46,16,10,11,9,0,34.78,21.74,23.91,19.57,0.00,0,0.482500000000,0.456250000000,0.574950000000,0.456250000000,4,25.00,1,3,480
PDH,12:00-14:00,1.00,5,27,46,1,2,2,41,0,2.17,4.35,4.35,89.13,0.00,0,0.255000000000,0.162450000000,0.345000000000,0.167500000000,0,0.00,0,0,
PDH,12:00-14:00,1.00,15,27,46,7,6,2,31,0,15.22,13.04,4.35,67.39,0.00,0,0.350000000000,0.277500000000,0.455000000000,0.277500000000,1,14.29,0,1,360
