family,same_session_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDL,3+,1.00,30,47,140,42,48,6,36,8,30.00,34.29,4.29,25.71,5.71,13,0.700000000000,0.745000000000,0.735050000000,0.760000000000,9,21.43,2,7,660
PDL,UNAVAILABLE,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,UNAVAILABLE,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,0.25,5,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,1,0.25,15,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
PMH,1,0.25,30,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,2.410000000000,0.410000000000,2.410000000000,0.410000000000,0,0.00,0,0,
PMH,1,0.50,5,2,2,1,1,0,0,0,50.00,50.00,0.00,0.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,1,0.50,15,2,2,1,1,0,0,0,50.00,50.00,0.00,0.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
PMH,1,0.50,30,2,2,1,1,0,0,0,50.00,50.00,0.00,0.00,0.00,0,2.410000000000,0.410000000000,2.410000000000,0.410000000000,0,0.00,0,0,
PMH,1,1.00,5,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,1,1.00,15,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
PMH,1,1.00,30,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.410000000000,0.410000000000,2.410000000000,0.410000000000,0,0.00,0,0,
PMH,2,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.25,5,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,0.630000000000,0.740000000000,0.630000000000,0.740000000000,0,,0,0,
PMH,3+,0.25,15,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,,0,0,
PMH,3+,0.25,30,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,,0,0,
PMH,3+,0.50,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.630000000000,0.740000000000,0.630000000000,0.740000000000,1,100.00,1,0,60
PMH,3+,0.50,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,1,100.00,1,0,60
PMH,3+,0.50,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,1,100.00,1,0,60
PMH,3+,1.00,5,1,1,0,0,0,1,0,0.00,0.00,0.00,100.00,0.00,0,0.630000000000,0.740000000000,0.630000000000,0.740000000000,0,,0,0,
PMH,3+,1.00,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,0.00,0,0,
PMH,3+,1.00,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,0.00,0,0,
PMH,UNAVAILABLE,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,UNAVAILABLE,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,1,0.25,5,2,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,0.955000000000,0.445000000000,1.340000000000,0.480000000000,0,,0,0,
PML,1,0.25,15,2,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,1.125000000000,0.640000000000,1.340000000000,0.640000000000,0,,0,0,
PML,1,0.25,30,2,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,1.160000000000,1.625000000000,1.340000000000,1.625000000000,0,,0,0,
PML,1,0.50,5,2,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,0.955000000000,0.445000000000,1.340000000000,0.480000000000,0,,0,0,
PML,1,0.50,15,2,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,1.125000000000,0.640000000000,1.340000000000,0.640000000000,0,,0,0,
PML,1,0.50,30,2,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,1.160000000000,1.625000000000,1.340000000000,1.625000000000,0,,0,0,
PML,1,1.00,5,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,0.955000000000,0.445000000000,1.340000000000,0.480000000000,0,0.00,0,0,
PML,1,1.00,15,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,1.125000000000,0.640000000000,1.340000000000,0.640000000000,1,100.00,1,0,240
PML,1,1.00,30,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,1.160000000000,1.625000000000,1.340000000000,1.625000000000,1,100.00,1,0,240
PML,2,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.25,5,2,6,2,1,3,0,0,33.33,16.67,50.00,0.00,0.00,0,0.350000000000,0.280000000000,0.350000000000,0.315000000000,0,0.00,0,0,
PML,3+,0.25,15,2,6,2,1,3,0,0,33.33,16.67,50.00,0.00,0.00,0,0.496250000000,0.360000000000,0.496250000000,0.380000000000,0,0.00,0,0,
PML,3+,0.25,30,2,6,2,1,3,0,0,33.33,16.67,50.00,0.00,0.00,1,0.896250000000,1.192500000000,0.896250000000,1.192500000000,1,50.00,0,1,1620
PML,3+,0.50,5,2,6,0,1,2,3,0,0.00,16.67,33.33,50.00,0.00,0,0.350000000000,0.280000000000,0.350000000000,0.315000000000,0,,0,0,
