family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ORH5,3+,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,1,0.25,5,138,408,92,26,259,31,0,22.55,6.37,63.48,7.60,0.00,4,0.376050000000,0.265000000000,0.485000000000,0.280000000000,27,29.35,27,0,120
ORL5,1,0.25,15,138,408,101,46,259,2,0,24.75,11.27,63.48,0.49,0.00,10,0.620000000000,0.515000000000,0.695000000000,0.530000000000,49,48.51,37,12,180
ORL5,1,0.25,30,138,408,102,46,259,1,0,25.00,11.27,63.48,0.25,0.00,16,0.790000000000,0.735050000000,0.820000000000,0.750000000000,59,57.84,37,22,240
ORL5,1,0.50,5,138,408,98,56,107,144,3,24.02,13.73,26.23,35.29,0.74,4,0.376050000000,0.265000000000,0.485000000000,0.280000000000,20,20.41,20,0,120
ORL5,1,0.50,15,138,408,146,110,108,40,4,35.78,26.96,26.47,9.80,0.98,10,0.620000000000,0.515000000000,0.695000000000,0.530000000000,54,36.99,38,16,240
ORL5,1,0.50,30,138,408,156,127,108,13,4,38.24,31.13,26.47,3.19,0.98,16,0.790000000000,0.735050000000,0.820000000000,0.750000000000,73,46.79,40,33,300
ORL5,1,1.00,5,138,408,37,33,21,313,4,9.07,8.09,5.15,76.72,0.98,4,0.376050000000,0.265000000000,0.485000000000,0.280000000000,4,10.81,4,0,150
ORL5,1,1.00,15,138,408,111,103,21,164,9,27.21,25.25,5.15,40.20,2.21,10,0.620000000000,0.515000000000,0.695000000000,0.530000000000,10,9.01,8,2,180
ORL5,1,1.00,30,138,408,139,131,21,105,12,34.07,32.11,5.15,25.74,2.94,16,0.790000000000,0.735050000000,0.820000000000,0.750000000000,32,23.02,11,21,480
