family,one_retest_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PWH,True,1.00,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.710000000000,0.060000000000,1.710000000000,0.100000000000,0,0.00,0,0,
PWH,True,1.00,30,6,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.305000000000,0.550000000000,1.305000000000,0.550000000000,1,14.29,1,0,180
PWH,False,0.25,5,39,104,20,12,55,16,1,19.23,11.54,52.88,15.38,0.96,3,0.231500000000,0.220000000000,0.342500000000,0.235000000000,2,10.00,2,0,90
PWH,False,0.25,15,39,101,26,17,55,2,1,25.74,16.83,54.46,1.98,0.99,5,0.430000000000,0.410000000000,0.510000000000,0.410000000000,8,30.77,5,3,300
PWH,False,0.25,30,39,101,26,17,55,2,1,25.74,16.83,54.46,1.98,0.99,10,0.540000000000,0.590000000000,0.579000000000,0.590000000000,13,50.00,5,8,540
PWH,False,0.50,5,39,104,17,11,23,50,3,16.35,10.58,22.12,48.08,2.88,3,0.231500000000,0.220000000000,0.342500000000,0.235000000000,1,5.88,1,0,120
PWH,False,0.50,15,39,102,26,25,23,25,3,25.49,24.51,22.55,24.51,2.94,5,0.421500000000,0.410000000000,0.485000000000,0.410000000000,5,19.23,3,2,300
PWH,False,0.50,30,37,98,28,32,23,11,4,28.57,32.65,23.47,11.22,4.08,10,0.492500000000,0.610000000000,0.562500000000,0.610000000000,11,39.29,3,8,780
PWH,False,1.00,5,39,104,3,6,6,86,3,2.88,5.77,5.77,82.69,2.88,3,0.231500000000,0.220000000000,0.342500000000,0.235000000000,0,0.00,0,0,
PWH,False,1.00,15,39,103,13,20,6,59,5,12.62,19.42,5.83,57.28,4.85,5,0.425000000000,0.410000000000,0.490000000000,0.410000000000,1,7.69,0,1,360
PWH,False,1.00,30,39,97,16,24,6,45,6,16.49,24.74,6.19,46.39,6.19,10,0.490000000000,0.590000000000,0.555000000000,0.590000000000,3,18.75,0,3,780
PWL,True,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,True,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,True,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,True,0.50,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.020000000000,0.180000000000,1.020000000000,0.180000000000,0,0.00,0,0,
PWL,True,0.50,15,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.755000000000,0.245000000000,0.755000000000,0.245000000000,0,0.00,0,0,
PWL,True,0.50,30,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.985000000000,0.350000000000,0.985000000000,0.350000000000,3,60.00,0,3,720
PWL,True,1.00,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.020000000000,0.180000000000,1.020000000000,0.180000000000,0,0.00,0,0,
PWL,True,1.00,15,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.570000000000,0.245000000000,1.570000000000,0.245000000000,0,0.00,0,0,
PWL,True,1.00,30,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.725000000000,0.370000000000,1.725000000000,0.370000000000,2,40.00,0,2,900
PWL,False,0.25,5,34,90,14,8,66,2,0,15.56,8.89,73.33,2.22,0.00,1,0.417200000000,0.431000000000,0.562500000000,0.450000000000,3,21.43,3,0,120
PWL,False,0.25,15,34,90,16,8,66,0,0,17.78,8.89,73.33,0.00,0.00,3,0.912450000000,0.649950000000,0.932500000000,0.649950000000,9,56.25,6,3,240
PWL,False,0.25,30,34,90,16,8,66,0,0,17.78,8.89,73.33,0.00,0.00,5,1.125000000000,0.822500000000,1.125000000000,0.822500000000,9,56.25,6,3,240
PWL,False,0.50,5,34,89,17,14,38,19,1,19.10,15.73,42.70,21.35,1.12,1,0.394400000000,0.440000000000,0.560000000000,0.460000000000,1,5.88,1,0,120
PWL,False,0.50,15,33,85,24,20,38,2,1,28.24,23.53,44.71,2.35,1.18,3,0.940000000000,0.680000000000,0.940000000000,0.680000000000,7,29.17,4,3,180
PWL,False,0.50,30,33,85,25,21,38,0,1,29.41,24.71,44.71,0.00,1.18,5,1.175000000000,0.990000000000,1.175000000000,0.990000000000,10,40.00,5,5,300
PWL,False,1.00,5,34,89,8,10,6,64,1,8.99,11.24,6.74,71.91,1.12,1,0.394400000000,0.440000000000,0.560000000000,0.460000000000,0,0.00,0,0,
PWL,False,1.00,15,33,85,26,28,6,23,2,30.59,32.94,7.06,27.06,2.35,3,0.830000000000,0.680000000000,0.884900000000,0.680000000000,5,19.23,2,3,420
