family,rejection_path,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDL,SINGLE_TOUCH_LATER,0.50,5,27,36,36,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.687450000000,0.074300000000,0.687450000000,0.115000000000,3,8.33,3,0,180
PDL,SINGLE_TOUCH_LATER,0.50,15,31,53,53,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.050000000000,0.180000000000,1.050000000000,0.250000000000,15,28.30,9,6,300
PDL,SINGLE_TOUCH_LATER,0.50,30,31,53,53,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,1.418000000000,0.310000000000,1.418000000000,0.360000000000,25,47.17,10,15,480
PDL,SINGLE_TOUCH_LATER,1.00,5,18,21,21,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.120000000000,0.050000000000,1.120000000000,0.220000000000,2,9.52,2,0,150
PDL,SINGLE_TOUCH_LATER,1.00,15,34,44,44,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.420000000000,0.270000000000,1.420000000000,0.302500000000,10,22.73,6,4,240
PDL,SINGLE_TOUCH_LATER,1.00,30,35,55,55,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.570000000000,0.370000000000,1.570000000000,0.395000000000,19,34.55,6,13,480
PDL,ONE_RETEST,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,ONE_RETEST,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,ONE_RETEST,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,ONE_RETEST,0.50,5,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.650000000000,0.170000000000,0.650000000000,0.170000000000,0,0.00,0,0,
PDL,ONE_RETEST,0.50,15,8,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.760000000000,0.220000000000,0.760000000000,0.220000000000,2,25.00,0,2,540
PDL,ONE_RETEST,0.50,30,8,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.050000000000,0.260000000000,1.050000000000,0.260000000000,4,50.00,0,4,690
PDL,ONE_RETEST,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,ONE_RETEST,1.00,15,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.220000000000,0.260000000000,2.220000000000,0.260000000000,0,0.00,0,0,
PDL,ONE_RETEST,1.00,30,9,9,9,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.270000000000,0.270000000000,2.270000000000,0.270000000000,0,0.00,0,0,
PDL,MULTIPLE_TESTS,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,MULTIPLE_TESTS,0.25,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.250000000000,0.070000000000,0.250000000000,0.070000000000,1,100.00,1,0,60
PDL,MULTIPLE_TESTS,0.25,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.690000000000,0.070000000000,0.690000000000,0.070000000000,1,100.00,1,0,60
PDL,MULTIPLE_TESTS,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,MULTIPLE_TESTS,0.50,15,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.555000000000,0.285050000000,0.555000000000,0.285050000000,0,0.00,0,0,
PDL,MULTIPLE_TESTS,0.50,30,6,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.690000000000,0.300000000000,0.690000000000,0.300000000000,2,28.57,1,1,390
PDL,MULTIPLE_TESTS,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,MULTIPLE_TESTS,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
