family,observed_lifetime_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDL,3-5,1.00,5,14,14,3,0,0,11,0,21.43,0.00,0.00,78.57,0.00,0,0.245000000000,0.360000000000,0.322450000000,0.360000000000,0,0.00,0,0,
PDL,3-5,1.00,15,14,14,4,1,0,8,1,28.57,7.14,0.00,57.14,7.14,1,0.682500000000,0.585000000000,0.682500000000,0.585000000000,1,25.00,1,0,180
PDL,3-5,1.00,30,14,14,5,3,0,5,1,35.71,21.43,0.00,35.71,7.14,1,0.775000000000,0.905000000000,0.775000000000,0.905000000000,2,40.00,1,1,570
PDL,6-10,0.25,5,26,30,7,2,20,1,0,23.33,6.67,66.67,3.33,0.00,1,0.390000000000,0.230000000000,0.532500000000,0.230000000000,0,0.00,0,0,
PDL,6-10,0.25,15,26,30,8,2,20,0,0,26.67,6.67,66.67,0.00,0.00,3,0.520000000000,0.430000000000,0.620050000000,0.430000000000,3,37.50,2,1,240
PDL,6-10,0.25,30,26,30,8,2,20,0,0,26.67,6.67,66.67,0.00,0.00,3,0.775000000000,0.535000000000,0.845000000000,0.569950000000,5,62.50,2,3,780
PDL,6-10,0.50,5,26,30,6,5,11,8,0,20.00,16.67,36.67,26.67,0.00,1,0.390000000000,0.230000000000,0.532500000000,0.230000000000,0,0.00,0,0,
PDL,6-10,0.50,15,26,30,11,6,11,1,1,36.67,20.00,36.67,3.33,3.33,3,0.520000000000,0.430000000000,0.620050000000,0.430000000000,4,36.36,2,2,330
PDL,6-10,0.50,30,26,30,12,6,11,0,1,40.00,20.00,36.67,0.00,3.33,3,0.775000000000,0.535000000000,0.845000000000,0.569950000000,8,66.67,2,6,630
PDL,6-10,1.00,5,26,30,2,1,3,24,0,6.67,3.33,10.00,80.00,0.00,1,0.390000000000,0.230000000000,0.532500000000,0.230000000000,0,0.00,0,0,
PDL,6-10,1.00,15,26,30,7,4,3,14,2,23.33,13.33,10.00,46.67,6.67,3,0.520000000000,0.430000000000,0.620050000000,0.430000000000,1,14.29,1,0,300
PDL,6-10,1.00,30,26,30,9,8,3,8,2,30.00,26.67,10.00,26.67,6.67,3,0.775000000000,0.535000000000,0.845000000000,0.569950000000,3,33.33,1,2,660
PDL,11+,0.25,5,38,96,29,18,45,4,0,30.21,18.75,46.88,4.17,0.00,1,0.245000000000,0.390000000000,0.382000000000,0.430000000000,7,24.14,7,0,60
PDL,11+,0.25,15,38,96,30,20,45,1,0,31.25,20.83,46.88,1.04,0.00,6,0.465000000000,0.545000000000,0.540050000000,0.545000000000,19,63.33,10,9,300
PDL,11+,0.25,30,38,96,31,20,45,0,0,32.29,20.83,46.88,0.00,0.00,9,0.650050000000,0.765000000000,0.685000000000,0.765000000000,20,64.52,10,10,330
PDL,11+,0.50,5,38,96,20,30,14,32,0,20.83,31.25,14.58,33.33,0.00,1,0.245000000000,0.390000000000,0.382000000000,0.430000000000,0,0.00,0,0,
PDL,11+,0.50,15,38,96,31,40,14,11,0,32.29,41.67,14.58,11.46,0.00,6,0.465000000000,0.545000000000,0.540050000000,0.545000000000,11,35.48,4,7,480
PDL,11+,0.50,30,38,96,34,45,14,3,0,35.42,46.88,14.58,3.12,0.00,9,0.650050000000,0.765000000000,0.685000000000,0.765000000000,13,38.24,4,9,480
PDL,11+,1.00,5,38,96,6,10,3,77,0,6.25,10.42,3.12,80.21,0.00,1,0.245000000000,0.390000000000,0.382000000000,0.430000000000,0,0.00,0,0,
PDL,11+,1.00,15,38,96,13,22,3,53,5,13.54,22.92,3.12,55.21,5.21,6,0.465000000000,0.545000000000,0.540050000000,0.545000000000,2,15.38,0,2,540
PDL,11+,1.00,30,38,96,28,37,3,23,5,29.17,38.54,3.12,23.96,5.21,9,0.650050000000,0.765000000000,0.685000000000,0.765000000000,4,14.29,0,4,600
PMH,1,0.25,5,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,1,0.25,15,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
