family,distance,horizon,touch_minutes,touch_runs,episodes,levels_touched,sessions_touched,available_level_instances,available_sessions,available_level_minutes,unavailable_sessions,censored,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct
PWL,0.25,15,613,253,90,17,34,36,170,66300,0,3,16,8,66,0,0,17.78,8.89,73.33,0.00,0.00
PWL,0.25,30,613,253,90,17,34,36,170,66300,0,5,16,8,66,0,0,17.78,8.89,73.33,0.00,0.00
PWL,0.50,5,613,253,90,17,34,36,170,66300,0,1,18,14,38,19,1,20.00,15.56,42.22,21.11,1.11
PWL,0.50,15,613,253,90,17,34,36,170,66300,0,3,29,20,38,2,1,32.22,22.22,42.22,2.22,1.11
PWL,0.50,30,613,253,90,17,34,36,170,66300,0,5,30,21,38,0,1,33.33,23.33,42.22,0.00,1.11
PWL,1.00,5,613,253,90,17,34,36,170,66300,0,1,9,10,6,64,1,10.00,11.11,6.67,71.11,1.11
PWL,1.00,15,613,253,90,17,34,36,170,66300,0,3,31,28,6,23,2,34.44,31.11,6.67,25.56,2.22
PWL,1.00,30,613,253,90,17,34,36,170,66300,0,5,35,35,6,11,3,38.89,38.89,6.67,12.22,3.33
1H_HIGH,0.25,5,15056,6515,2298,129,140,142,170,4920750,0,48,500,232,1359,205,2,21.76,10.10,59.14,8.92,0.09
1H_HIGH,0.25,15,15056,6515,2298,129,140,142,170,4920750,0,112,595,321,1359,21,2,25.89,13.97,59.14,0.91,0.09
1H_HIGH,0.25,30,15056,6515,2298,129,140,142,170,4920750,0,193,606,328,1359,3,2,26.37,14.27,59.14,0.13,0.09
1H_HIGH,0.50,5,15056,6515,2298,129,140,142,170,4920750,0,48,443,358,622,856,19,19.28,15.58,27.07,37.25,0.83
1H_HIGH,0.50,15,15056,6515,2298,129,140,142,170,4920750,0,112,715,634,622,298,29,31.11,27.59,27.07,12.97,1.26
1H_HIGH,0.50,30,15056,6515,2298,129,140,142,170,4920750,0,193,797,722,622,125,32,34.68,31.42,27.07,5.44,1.39
1H_HIGH,1.00,5,15056,6515,2298,129,140,142,170,4920750,0,48,201,182,129,1745,41,8.75,7.92,5.61,75.94,1.78
1H_HIGH,1.00,15,15056,6515,2298,129,140,142,170,4920750,0,112,534,528,129,1028,79,23.24,22.98,5.61,44.73,3.44
1H_HIGH,1.00,30,15056,6515,2298,129,140,142,170,4920750,0,193,746,705,129,613,105,32.46,30.68,5.61,26.68,4.57
1H_LOW,0.25,5,16583,7256,2560,123,140,139,170,4849890,0,55,478,246,1735,101,0,18.67,9.61,67.77,3.95,0.00
1H_LOW,0.25,15,16583,7256,2560,123,140,139,170,4849890,0,135,523,292,1735,10,0,20.43,11.41,67.77,0.39,0.00
1H_LOW,0.25,30,16583,7256,2560,123,140,139,170,4849890,0,204,528,295,1735,2,0,20.62,11.52,67.77,0.08,0.00
1H_LOW,0.50,5,16583,7256,2560,123,140,139,170,4849890,0,55,559,446,813,724,18,21.84,17.42,31.76,28.28,0.70
1H_LOW,0.50,15,16583,7256,2560,123,140,139,170,4849890,0,135,794,705,814,219,28,31.02,27.54,31.80,8.55,1.09
1H_LOW,0.50,30,16583,7256,2560,123,140,139,170,4849890,0,204,873,771,814,73,29,34.10,30.12,31.80,2.85,1.13
1H_LOW,1.00,5,16583,7256,2560,123,140,139,170,4849890,0,55,255,239,186,1844,36,9.96,9.34,7.27,72.03,1.41
1H_LOW,1.00,15,16583,7256,2560,123,140,139,170,4849890,0,135,668,689,186,933,84,26.09,26.91,7.27,36.45,3.28
1H_LOW,1.00,30,16583,7256,2560,123,140,139,170,4849890,0,204,909,906,186,464,95,35.51,35.39,7.27,18.12,3.71
