family,history_complete,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PWL,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,True,0.25,5,140,2298,500,232,1359,205,2,21.76,10.10,59.14,8.92,0.09,48,0.310000000000,0.290000000000,0.450000000000,0.310000000000,128,25.60,128,0,120
1H_HIGH,True,0.25,15,140,2298,595,321,1359,21,2,25.89,13.97,59.14,0.91,0.09,112,0.545000000000,0.530000000000,0.630000000000,0.540000000000,292,49.08,201,91,180
1H_HIGH,True,0.25,30,140,2298,606,328,1359,3,2,26.37,14.27,59.14,0.13,0.09,193,0.735000000000,0.715000000000,0.795000000000,0.730000000000,392,64.69,209,183,300
1H_HIGH,True,0.50,5,140,2298,443,358,622,856,19,19.28,15.58,27.07,37.25,0.83,48,0.310000000000,0.290000000000,0.450000000000,0.310000000000,50,11.29,50,0,120
1H_HIGH,True,0.50,15,140,2298,715,634,622,298,29,31.11,27.59,27.07,12.97,1.26,112,0.545000000000,0.530000000000,0.630000000000,0.540000000000,223,31.19,148,75,240
1H_HIGH,True,0.50,30,140,2298,797,722,622,125,32,34.68,31.42,27.07,5.44,1.39,193,0.735000000000,0.715000000000,0.795000000000,0.730000000000,370,46.42,164,206,360
1H_HIGH,True,1.00,5,140,2298,201,182,129,1745,41,8.75,7.92,5.61,75.94,1.78,48,0.310000000000,0.290000000000,0.450000000000,0.310000000000,10,4.98,10,0,120
1H_HIGH,True,1.00,15,140,2298,534,528,129,1028,79,23.24,22.98,5.61,44.73,3.44,112,0.545000000000,0.530000000000,0.630000000000,0.540000000000,98,18.35,55,43,300
1H_HIGH,True,1.00,30,140,2298,746,705,129,613,105,32.46,30.68,5.61,26.68,4.57,193,0.735000000000,0.715000000000,0.795000000000,0.730000000000,195,26.14,61,134,480
1H_HIGH,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,True,0.25,5,140,2560,478,246,1735,101,0,18.67,9.61,67.77,3.95,0.00,55,0.360000000000,0.350000000000,0.510000000000,0.370000000000,146,30.54,146,0,120
1H_LOW,True,0.25,15,140,2560,523,292,1735,10,0,20.43,11.41,67.77,0.39,0.00,135,0.620000000000,0.640000000000,0.710000000000,0.650000000000,291,55.64,207,84,180
1H_LOW,True,0.25,30,140,2560,528,295,1735,2,0,20.62,11.52,67.77,0.08,0.00,204,0.860000000000,0.860000000000,0.930000000000,0.860000000000,354,67.05,212,142,240
1H_LOW,True,0.50,5,140,2560,559,446,813,724,18,21.84,17.42,31.76,28.28,0.70,55,0.360000000000,0.350000000000,0.510000000000,0.370000000000,76,13.60,76,0,90
1H_LOW,True,0.50,15,140,2560,794,705,814,219,28,31.02,27.54,31.80,8.55,1.09,135,0.620000000000,0.640000000000,0.710000000000,0.650000000000,305,38.41,209,96,240
1H_LOW,True,0.50,30,140,2560,873,771,814,73,29,34.10,30.12,31.80,2.85,1.13,204,0.860000000000,0.860000000000,0.930000000000,0.860000000000,442,50.63,220,222,360
1H_LOW,True,1.00,5,140,2560,255,239,186,1844,36,9.96,9.34,7.27,72.03,1.41,55,0.360000000000,0.350000000000,0.510000000000,0.370000000000,11,4.31,11,0,120
1H_LOW,True,1.00,15,140,2560,668,689,186,933,84,26.09,26.91,7.27,36.45,3.28,135,0.620000000000,0.640000000000,0.710000000000,0.650000000000,133,19.91,79,54,300
1H_LOW,True,1.00,30,140,2560,909,906,186,464,95,35.51,35.39,7.27,18.12,3.71,204,0.860000000000,0.860000000000,0.930000000000,0.860000000000,263,28.93,96,167,420
1H_LOW,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
